#term	term_size	term_size_in_genome	list1_positives	list1_negatives	list1_percentage	list2_positives	list2_negatives	list2_percentage	list1_positive_ids	list2_positive_ids	odds_ratio_log	pvalue	adj_pvalue
REACT_71	356	433	35	918	3.67	321	17864	1.77	AARS,CD2BP2,EIF2S2,EIF3J,EIF4A1,EIF5B,ELK1,FOXC1,FOXL1,FUS,GTF2E1,HARS2,HNRNPA3,MED1,MED13,MED31,METTL3,MZF1,NCBP2,POLR2F,POLR2G,PPARA,RBMX,RPL35A,RPS24,RPS3,RPSA,SF3A3,SF3B1,SFRS1,SMC1A,SNRNP200,SRRM1,SUPT4H1,U2AF1	ENSG00000003756,ENSG00000005339,ENSG00000008838,ENSG00000008988,ENSG00000011304,ENSG00000011376,ENSG00000012504,ENSG00000013619,ENSG00000020426,ENSG00000025434,ENSG00000031544,ENSG00000031698,ENSG00000037241,ENSG00000042429,ENSG00000060069,ENSG00000060339,ENSG00000060688,ENSG00000063046,ENSG00000063177,ENSG00000063244,ENSG00000064995,ENSG00000065427,ENSG00000065978,ENSG00000067704,ENSG00000070756,ENSG00000070785,ENSG00000071082,ENSG00000071894,ENSG00000074181,ENSG00000077092,ENSG00000077312,ENSG00000082258,ENSG00000083845,ENSG00000084623,ENSG00000087365,ENSG00000089009,ENSG00000089157,ENSG00000090060,ENSG00000091831,ENSG00000092199,ENSG00000096150,ENSG00000096171,ENSG00000099783,ENSG00000099817,ENSG00000099917,ENSG00000099995,ENSG00000100028,ENSG00000100138,ENSG00000100316,ENSG00000100353,ENSG00000100664,ENSG00000101076,ENSG00000101138,ENSG00000101158,ENSG00000101654,ENSG00000101811,ENSG00000102978,ENSG00000103363,ENSG00000104408,ENSG00000104529,ENSG00000104824,ENSG00000104852,ENSG00000104884,ENSG00000104897,ENSG00000104973,ENSG00000105085,ENSG00000105193,ENSG00000105258,ENSG00000105323,ENSG00000105372,ENSG00000105640,ENSG00000105656,ENSG00000105705,ENSG00000106105,ENSG00000106290,ENSG00000106305,ENSG00000107581,ENSG00000108107,ENSG00000108298,ENSG00000108773,ENSG00000109475,ENSG00000110700,ENSG00000110768,ENSG00000111358,ENSG00000111361,ENSG00000111424,ENSG00000111786,ENSG00000111880,ENSG00000112033,ENSG00000112081,ENSG00000112237,ENSG00000112282,ENSG00000112306,ENSG00000112333,ENSG00000113407,ENSG00000113580,ENSG00000113643,ENSG00000114166,ENSG00000114391,ENSG00000114867,ENSG00000114942,ENSG00000115128,ENSG00000115211,ENSG00000115216,ENSG00000115268,ENSG00000115866,ENSG00000115875,ENSG00000116251,ENSG00000116833,ENSG00000116874,ENSG00000117593,ENSG00000118181,ENSG00000119203,ENSG00000119508,ENSG00000119715,ENSG00000120656,ENSG00000120705,ENSG00000122026,ENSG00000122406,ENSG00000122566,ENSG00000123358,ENSG00000124193,ENSG00000124608,ENSG00000124614,ENSG00000124641,ENSG00000124802,ENSG00000125351,ENSG00000125651,ENSG00000125691,ENSG00000125743,ENSG00000125835,ENSG00000125944,ENSG00000126351,ENSG00000126368,ENSG00000126698,ENSG00000126945,ENSG00000129824,ENSG00000130255,ENSG00000130699,ENSG00000130741,ENSG00000131469,ENSG00000131759,ENSG00000131795,ENSG00000131876,ENSG00000131910,ENSG00000132170,ENSG00000132964,ENSG00000133706,ENSG00000134250,ENSG00000134419,ENSG00000134440,ENSG00000134480,ENSG00000134684,ENSG00000134905,ENSG00000135486,ENSG00000135829,ENSG00000136146,ENSG00000136807,ENSG00000136931,ENSG00000136942,ENSG00000137154,ENSG00000137513,ENSG00000137947,ENSG00000138668,ENSG00000139131,ENSG00000139343,ENSG00000140009,ENSG00000140105,ENSG00000140829,ENSG00000140988,ENSG00000141759,ENSG00000142534,ENSG00000142541,ENSG00000142676,ENSG00000142937,ENSG00000143257,ENSG00000143365,ENSG00000143368,ENSG00000143374,ENSG00000143947,ENSG00000143977,ENSG00000144713,ENSG00000145191,ENSG00000145425,ENSG00000145592,ENSG00000145736,ENSG00000145982,ENSG00000147133,ENSG00000147403,ENSG00000147604,ENSG00000147669,ENSG00000147677,ENSG00000148303,ENSG00000148400,ENSG00000148572,ENSG00000148835,ENSG00000149806,ENSG00000151623,ENSG00000153234,ENSG00000154582,ENSG00000156482,ENSG00000156508,ENSG00000156976,ENSG00000159479,ENSG00000160113,ENSG00000161016,ENSG00000161021,ENSG00000161547,ENSG00000161970,ENSG00000162231,ENSG00000162244,ENSG00000162385,ENSG00000163161,ENSG00000163682,ENSG00000163882,ENSG00000164022,ENSG00000164587,ENSG00000164758,ENSG00000165119,ENSG00000165417,ENSG00000165494,ENSG00000165934,ENSG00000166337,ENSG00000166441,ENSG00000166986,ENSG00000167005,ENSG00000167088,ENSG00000167526,ENSG00000168214,ENSG00000169045,ENSG00000169297,ENSG00000169813,ENSG00000169976,ENSG00000171858,ENSG00000171863,ENSG00000172053,ENSG00000172409,ENSG00000172809,ENSG00000172850,ENSG00000173153,ENSG00000173674,ENSG00000174738,ENSG00000174748,ENSG00000175221,ENSG00000175390,ENSG00000177463,ENSG00000177600,ENSG00000177700,ENSG00000177954,ENSG00000178982,ENSG00000181222,ENSG00000182004,ENSG00000182774,ENSG00000183684,ENSG00000184110,ENSG00000184162,ENSG00000184384,ENSG00000184634,ENSG00000184779,ENSG00000185049,ENSG00000186468,ENSG00000187735,ENSG00000187840,ENSG00000188342,ENSG00000188846,ENSG00000188986,ENSG00000189091,ENSG00000189369,ENSG00000196235,ENSG00000196482,ENSG00000196656,ENSG00000197111,ENSG00000197728,ENSG00000197756,ENSG00000197958,ENSG00000198034,ENSG00000198242,ENSG00000198637,ENSG00000198755,ENSG00000198918,ENSG00000204231,ENSG00000204356,ENSG00000204392,ENSG00000205937,ENSG00000206268,ENSG00000206289,ENSG00000206357,ENSG00000213741,ENSG00000215472,ENSG00000221974,ENSG00000221983,ENSG00000223367,ENSG00000224979,ENSG00000225837,ENSG00000225998,ENSG00000226225,ENSG00000226384,ENSG00000226589,ENSG00000227081,ENSG00000227097,ENSG00000227322,ENSG00000228333,ENSG00000229117,ENSG00000229363,ENSG00000231044,ENSG00000231321,ENSG00000231500,ENSG00000231502,ENSG00000233149,ENSG00000233801,ENSG00000233927,ENSG00000234370,ENSG00000234490,ENSG00000234876,ENSG00000235650,ENSG00000235712,ENSG00000236178,ENSG00000236568,ENSG00000236826,ENSG00000236895,ENSG00000241343	752252.34126E-6	1.02161E-4	6.12964E-4
REACT_11061	150	220	18	935	1.89	132	18053	0.73	AKT2,APH1A,CHUK,ELK1,FOXC1,FOXL1,GSK3A,HRAS,ITGB3BP,MTOR,MZF1,NRAS,PSEN2,RASGRF2,RIT1,SHC1,THEM4,TRIO	ENSG00000002330,ENSG00000005249,ENSG00000006125,ENSG00000051382,ENSG00000058335,ENSG00000064300,ENSG00000067560,ENSG00000068305,ENSG00000071242,ENSG00000076928,ENSG00000078295,ENSG00000078549,ENSG00000081913,ENSG00000089820,ENSG00000090924,ENSG00000096433,ENSG00000099139,ENSG00000100246,ENSG00000100485,ENSG00000102606,ENSG00000102882,ENSG00000103197,ENSG00000104312,ENSG00000104365,ENSG00000105568,ENSG00000105695,ENSG00000106976,ENSG00000107263,ENSG00000107295,ENSG00000108270,ENSG00000108861,ENSG00000110237,ENSG00000111276,ENSG00000112062,ENSG00000113575,ENSG00000114346,ENSG00000115252,ENSG00000115310,ENSG00000116473,ENSG00000116478,ENSG00000116584,ENSG00000117676,ENSG00000118260,ENSG00000118689,ENSG00000119487,ENSG00000121879,ENSG00000123104,ENSG00000123268,ENSG00000123358,ENSG00000123360,ENSG00000124181,ENSG00000124762,ENSG00000126861,ENSG00000126934,ENSG00000127084,ENSG00000129675,ENSG00000129946,ENSG00000130762,ENSG00000132694,ENSG00000132906,ENSG00000133703,ENSG00000134215,ENSG00000134259,ENSG00000134313,ENSG00000135587,ENSG00000135679,ENSG00000136002,ENSG00000136238,ENSG00000137764,ENSG00000138031,ENSG00000138613,ENSG00000140479,ENSG00000140564,ENSG00000141433,ENSG00000141522,ENSG00000141968,ENSG00000142208,ENSG00000143933,ENSG00000143947,ENSG00000144118,ENSG00000146192,ENSG00000148053,ENSG00000148082,ENSG00000150907,ENSG00000150991,ENSG00000150995,ENSG00000151694,ENSG00000152214,ENSG00000154358,ENSG00000155897,ENSG00000156395,ENSG00000156711,ENSG00000159842,ENSG00000160014,ENSG00000160271,ENSG00000160293,ENSG00000161011,ENSG00000161203,ENSG00000162104,ENSG00000163558,ENSG00000163932,ENSG00000163947,ENSG00000164086,ENSG00000164305,ENSG00000164742,ENSG00000165059,ENSG00000166225,ENSG00000167965,ENSG00000169047,ENSG00000169783,ENSG00000170315,ENSG00000170776,ENSG00000171680,ENSG00000171862,ENSG00000172936,ENSG00000173039,ENSG00000173848,ENSG00000174233,ENSG00000175104,ENSG00000175634,ENSG00000179222,ENSG00000183020,ENSG00000185386,ENSG00000185950,ENSG00000188130,ENSG00000197122,ENSG00000198400,ENSG00000198668,ENSG00000204673,ENSG00000205155,ENSG00000205726,ENSG00000221983	968090.46096E-6	4.86619E-4	2.05612E-3
REACT_498	27	39	9	944	0.94	18	18167	0.1	AKT2,FOXC1,FOXL1,HRAS,MTOR,MZF1,NRAS,SHC1,THEM4	ENSG00000051382,ENSG00000063046,ENSG00000102882,ENSG00000103197,ENSG00000106615,ENSG00000114867,ENSG00000115325,ENSG00000121879,ENSG00000126934,ENSG00000129965,ENSG00000133703,ENSG00000137154,ENSG00000141564,ENSG00000165699,ENSG00000167965,ENSG00000169047,ENSG00000185950,ENSG00000187840	2.2640886937E0	3.76897E-6	4.97504E-5
REACT_474	86	102	12	941	1.26	74	18111	0.41	ALDOC,DLD,FOXC1,FOXL1,GALE,LDHB,MZF1,PDHA1,PGAM1,RPIA,SLC25A12,UGP2	ENSG00000004864,ENSG00000014641,ENSG00000056998,ENSG00000059804,ENSG00000067057,ENSG00000067177,ENSG00000067225,ENSG00000068976,ENSG00000074800,ENSG00000079739,ENSG00000084734,ENSG00000100075,ENSG00000100170,ENSG00000100504,ENSG00000100889,ENSG00000101911,ENSG00000102144,ENSG00000102893,ENSG00000104812,ENSG00000105220,ENSG00000105679,ENSG00000106633,ENSG00000108479,ENSG00000108528,ENSG00000111640,ENSG00000111669,ENSG00000111674,ENSG00000114268,ENSG00000115850,ENSG00000117394,ENSG00000118094,ENSG00000118596,ENSG00000120053,ENSG00000123836,ENSG00000124253,ENSG00000125166,ENSG00000130313,ENSG00000130957,ENSG00000131482,ENSG00000134333,ENSG00000137700,ENSG00000141526,ENSG00000142657,ENSG00000143627,ENSG00000143933,ENSG00000146701,ENSG00000147224,ENSG00000149925,ENSG00000156515,ENSG00000159399,ENSG00000160014,ENSG00000160211,ENSG00000160883,ENSG00000162688,ENSG00000163581,ENSG00000163754,ENSG00000164708,ENSG00000164776,ENSG00000165140,ENSG00000168291,ENSG00000170525,ENSG00000172270,ENSG00000174876,ENSG00000177156,ENSG00000179087,ENSG00000183048,ENSG00000187733,ENSG00000197713,ENSG00000198668,ENSG00000213930,ENSG00000229937,ENSG00000237763,ENSG00000240038,ENSG00000243480	1.1381731845E0	1.1068E-3	3.65243E-3
REACT_152	244	327	27	926	2.83	217	17968	1.19	ANAPC7,CDC16,CSNK1E,E2F4,ELK1,FOXC1,FOXL1,ITGB3BP,MAPRE1,MZF1,NINL,NUP160,POLA1,PSMB5,PSMB8,PSMB9,PSMD13,PSMD5,PSME3,PSMF1,RAD21,SMC1A,SMC3,SSNA1,TFDP1,TUBB,YWHAG	ENSG00000002822,ENSG00000005249,ENSG00000006634,ENSG00000007968,ENSG00000008128,ENSG00000013275,ENSG00000014138,ENSG00000020426,ENSG00000035928,ENSG00000037042,ENSG00000040275,ENSG00000046651,ENSG00000049541,ENSG00000053900,ENSG00000054282,ENSG00000055130,ENSG00000062822,ENSG00000065328,ENSG00000066027,ENSG00000068796,ENSG00000069248,ENSG00000072401,ENSG00000072864,ENSG00000073111,ENSG00000074054,ENSG00000075188,ENSG00000075886,ENSG00000076003,ENSG00000077514,ENSG00000078304,ENSG00000078674,ENSG00000079335,ENSG00000080824,ENSG00000085415,ENSG00000087586,ENSG00000088986,ENSG00000089685,ENSG00000091651,ENSG00000092010,ENSG00000093009,ENSG00000094804,ENSG00000094880,ENSG00000097046,ENSG00000099341,ENSG00000100162,ENSG00000100297,ENSG00000100401,ENSG00000100479,ENSG00000100567,ENSG00000100764,ENSG00000100902,ENSG00000100911,ENSG00000100918,ENSG00000101003,ENSG00000101162,ENSG00000101182,ENSG00000101624,ENSG00000101843,ENSG00000101972,ENSG00000102384,ENSG00000102901,ENSG00000103035,ENSG00000103540,ENSG00000103995,ENSG00000104738,ENSG00000104833,ENSG00000105173,ENSG00000105325,ENSG00000105568,ENSG00000106399,ENSG00000106477,ENSG00000106628,ENSG00000108294,ENSG00000108344,ENSG00000110274,ENSG00000110801,ENSG00000111445,ENSG00000111581,ENSG00000112029,ENSG00000112242,ENSG00000112576,ENSG00000112984,ENSG00000113575,ENSG00000114107,ENSG00000115163,ENSG00000115942,ENSG00000115947,ENSG00000116127,ENSG00000117650,ENSG00000117697,ENSG00000117748,ENSG00000118007,ENSG00000118971,ENSG00000119397,ENSG00000120253,ENSG00000120334,ENSG00000123219,ENSG00000123374,ENSG00000123810,ENSG00000124762,ENSG00000126001,ENSG00000126216,ENSG00000127564,ENSG00000127589,ENSG00000127824,ENSG00000127914,ENSG00000128159,ENSG00000129084,ENSG00000129810,ENSG00000130640,ENSG00000130779,ENSG00000131462,ENSG00000132383,ENSG00000133119,ENSG00000133740,ENSG00000134057,ENSG00000134480,ENSG00000134690,ENSG00000135336,ENSG00000135446,ENSG00000136861,ENSG00000137100,ENSG00000137285,ENSG00000137497,ENSG00000137812,ENSG00000137814,ENSG00000137822,ENSG00000138092,ENSG00000138346,ENSG00000138778,ENSG00000141200,ENSG00000141551,ENSG00000141552,ENSG00000141577,ENSG00000142507,ENSG00000142731,ENSG00000143106,ENSG00000143228,ENSG00000143947,ENSG00000145241,ENSG00000145604,ENSG00000146143,ENSG00000147400,ENSG00000149503,ENSG00000149636,ENSG00000150991,ENSG00000151725,ENSG00000151849,ENSG00000152253,ENSG00000153107,ENSG00000153201,ENSG00000153207,ENSG00000154473,ENSG00000154839,ENSG00000156970,ENSG00000157020,ENSG00000157456,ENSG00000158402,ENSG00000159352,ENSG00000160299,ENSG00000160783,ENSG00000161057,ENSG00000161888,ENSG00000163535,ENSG00000163636,ENSG00000163918,ENSG00000164045,ENSG00000164162,ENSG00000164611,ENSG00000165916,ENSG00000166037,ENSG00000166451,ENSG00000166483,ENSG00000166508,ENSG00000166548,ENSG00000166579,ENSG00000166851,ENSG00000167553,ENSG00000167842,ENSG00000169679,ENSG00000170142,ENSG00000170315,ENSG00000171848,ENSG00000173207,ENSG00000173692,ENSG00000174442,ENSG00000174799,ENSG00000175063,ENSG00000175166,ENSG00000175203,ENSG00000175216,ENSG00000175279,ENSG00000176014,ENSG00000176248,ENSG00000176386,ENSG00000176890,ENSG00000177084,ENSG00000177954,ENSG00000178999,ENSG00000179051,ENSG00000182628,ENSG00000182923,ENSG00000186298,ENSG00000186871,ENSG00000188312,ENSG00000197102,ENSG00000198033,ENSG00000198056,ENSG00000198089,ENSG00000198211,ENSG00000204086,ENSG00000205220,ENSG00000213066,ENSG00000221983,ENSG00000227081,ENSG00000228716,ENSG00000233281	881412.9548E-6	8.93764E-5	6.12964E-4
REACT_1538	90	117	13	940	1.36	77	18108	0.42	ANAPC7,CDC16,ELK1,FOXC1,FOXL1,MZF1,PSMB5,PSMB8,PSMB9,PSMD13,PSMD5,PSME3,PSMF1	ENSG00000002822,ENSG00000006634,ENSG00000013275,ENSG00000049541,ENSG00000053900,ENSG00000065328,ENSG00000072401,ENSG00000073111,ENSG00000076003,ENSG00000091651,ENSG00000092010,ENSG00000093009,ENSG00000094804,ENSG00000094880,ENSG00000097046,ENSG00000099341,ENSG00000100297,ENSG00000100567,ENSG00000100764,ENSG00000100902,ENSG00000100911,ENSG00000101182,ENSG00000101843,ENSG00000103035,ENSG00000104738,ENSG00000105173,ENSG00000106399,ENSG00000108294,ENSG00000108344,ENSG00000110801,ENSG00000111445,ENSG00000113456,ENSG00000115942,ENSG00000115947,ENSG00000117748,ENSG00000123374,ENSG00000124762,ENSG00000129084,ENSG00000132383,ENSG00000133119,ENSG00000134057,ENSG00000135336,ENSG00000135679,ENSG00000136273,ENSG00000141510,ENSG00000141552,ENSG00000142507,ENSG00000143106,ENSG00000143207,ENSG00000143947,ENSG00000149311,ENSG00000149554,ENSG00000150991,ENSG00000153107,ENSG00000154473,ENSG00000156970,ENSG00000157456,ENSG00000158402,ENSG00000159352,ENSG00000161057,ENSG00000163636,ENSG00000163918,ENSG00000164045,ENSG00000164162,ENSG00000165916,ENSG00000166483,ENSG00000166508,ENSG00000170142,ENSG00000170315,ENSG00000173692,ENSG00000175054,ENSG00000175063,ENSG00000175166,ENSG00000176248,ENSG00000176386,ENSG00000205220,ENSG00000221983	1.1793731689E0	4.98453E-4	2.05612E-3
REACT_6850	52	70	13	940	1.36	39	18146	0.21	ANAPC7,CDC16,ELK1,FOXC1,FOXL1,MZF1,PSMB5,PSMB8,PSMB9,PSMD13,PSMD5,PSME3,PSMF1	ENSG00000013275,ENSG00000053900,ENSG00000072401,ENSG00000092010,ENSG00000094880,ENSG00000099341,ENSG00000100567,ENSG00000100764,ENSG00000100902,ENSG00000100911,ENSG00000101182,ENSG00000101843,ENSG00000103035,ENSG00000108294,ENSG00000108344,ENSG00000110801,ENSG00000129084,ENSG00000141552,ENSG00000142507,ENSG00000143106,ENSG00000143947,ENSG00000150991,ENSG00000153107,ENSG00000154473,ENSG00000156970,ENSG00000159352,ENSG00000161057,ENSG00000163636,ENSG00000164162,ENSG00000165916,ENSG00000170142,ENSG00000170315,ENSG00000173692,ENSG00000175063,ENSG00000175166,ENSG00000176248,ENSG00000176386,ENSG00000205220,ENSG00000221983	1.8617132658E0	1.1079E-6	2.43738E-5
REACT_9035	52	65	13	940	1.36	39	18146	0.21	ANAPC7,CDC16,ELK1,FOXC1,FOXL1,MZF1,PSMB5,PSMB8,PSMB9,PSMD13,PSMD5,PSME3,PSMF1	ENSG00000013275,ENSG00000053900,ENSG00000072401,ENSG00000092010,ENSG00000094880,ENSG00000099341,ENSG00000100567,ENSG00000100764,ENSG00000100902,ENSG00000100911,ENSG00000101182,ENSG00000101843,ENSG00000103035,ENSG00000105325,ENSG00000108294,ENSG00000108344,ENSG00000110801,ENSG00000129084,ENSG00000141552,ENSG00000142507,ENSG00000143106,ENSG00000143947,ENSG00000145604,ENSG00000150991,ENSG00000153107,ENSG00000159352,ENSG00000161057,ENSG00000163636,ENSG00000164162,ENSG00000165916,ENSG00000170142,ENSG00000170315,ENSG00000173692,ENSG00000175063,ENSG00000175166,ENSG00000176248,ENSG00000176386,ENSG00000205220,ENSG00000221983	1.8617132658E0	1.1079E-6	2.43738E-5
REACT_1788	113	142	16	937	1.68	97	18088	0.53	BRF2,ELK1,FOXC1,FOXL1,GTF2E1,LZTS1,MZF1,NCBP2,POLR1A,POLR2F,POLR2G,SFRS1,SNAPC3,SRRM1,SUPT4H1,U2AF1	ENSG00000013503,ENSG00000020426,ENSG00000060069,ENSG00000063244,ENSG00000064995,ENSG00000071894,ENSG00000082258,ENSG00000085721,ENSG00000090060,ENSG00000099817,ENSG00000099821,ENSG00000101138,ENSG00000101158,ENSG00000101654,ENSG00000101811,ENSG00000102882,ENSG00000102978,ENSG00000103168,ENSG00000103363,ENSG00000104884,ENSG00000104976,ENSG00000105258,ENSG00000105656,ENSG00000106290,ENSG00000108312,ENSG00000110768,ENSG00000111358,ENSG00000111786,ENSG00000111880,ENSG00000112081,ENSG00000114166,ENSG00000115207,ENSG00000115750,ENSG00000115875,ENSG00000119041,ENSG00000119203,ENSG00000120656,ENSG00000122034,ENSG00000124193,ENSG00000125351,ENSG00000125484,ENSG00000125630,ENSG00000125651,ENSG00000127989,ENSG00000130699,ENSG00000131795,ENSG00000132664,ENSG00000134480,ENSG00000136807,ENSG00000137947,ENSG00000140829,ENSG00000143498,ENSG00000145734,ENSG00000145736,ENSG00000147133,ENSG00000147669,ENSG00000148308,ENSG00000148835,ENSG00000154582,ENSG00000161547,ENSG00000162385,ENSG00000162851,ENSG00000163161,ENSG00000163882,ENSG00000165417,ENSG00000165494,ENSG00000165684,ENSG00000165934,ENSG00000166337,ENSG00000166478,ENSG00000167005,ENSG00000168495,ENSG00000171453,ENSG00000172409,ENSG00000174446,ENSG00000177700,ENSG00000181222,ENSG00000183684,ENSG00000185024,ENSG00000185049,ENSG00000186184,ENSG00000187735,ENSG00000188342,ENSG00000188986,ENSG00000196235,ENSG00000204356,ENSG00000205937,ENSG00000206268,ENSG00000206357,ENSG00000221974,ENSG00000226384,ENSG00000229363,ENSG00000231044,ENSG00000233149,ENSG00000233801,ENSG00000234370,ENSG00000236895	1.1581984755E0	1.49026E-4	8.19641E-4
REACT_125	96	116	19	934	1.99	77	18108	0.42	CD2BP2,ELK1,FOXC1,FOXL1,FUS,HNRNPA3,METTL3,MZF1,NCBP2,POLR2F,POLR2G,RBMX,SF3A3,SF3B1,SFRS1,SMC1A,SNRNP200,SRRM1,U2AF1	ENSG00000003756,ENSG00000011304,ENSG00000060339,ENSG00000060688,ENSG00000063244,ENSG00000065978,ENSG00000071894,ENSG00000077312,ENSG00000087365,ENSG00000090060,ENSG00000092199,ENSG00000099783,ENSG00000099817,ENSG00000099995,ENSG00000100028,ENSG00000100138,ENSG00000101138,ENSG00000101811,ENSG00000102978,ENSG00000104824,ENSG00000104852,ENSG00000104897,ENSG00000105258,ENSG00000105323,ENSG00000105705,ENSG00000111786,ENSG00000112081,ENSG00000115128,ENSG00000115875,ENSG00000119203,ENSG00000122566,ENSG00000124193,ENSG00000125351,ENSG00000125651,ENSG00000125743,ENSG00000125835,ENSG00000125944,ENSG00000126698,ENSG00000126945,ENSG00000131795,ENSG00000131876,ENSG00000135486,ENSG00000135829,ENSG00000138668,ENSG00000139343,ENSG00000140829,ENSG00000141759,ENSG00000143368,ENSG00000143977,ENSG00000147669,ENSG00000161547,ENSG00000162231,ENSG00000162385,ENSG00000163882,ENSG00000165119,ENSG00000165494,ENSG00000165934,ENSG00000167005,ENSG00000167088,ENSG00000169045,ENSG00000169813,ENSG00000169976,ENSG00000172409,ENSG00000172850,ENSG00000177700,ENSG00000181222,ENSG00000182004,ENSG00000183684,ENSG00000188342,ENSG00000189091,ENSG00000197111,ENSG00000204392,ENSG00000205937,ENSG00000224979,ENSG00000225998,ENSG00000231502,ENSG00000236826	1.5652662276E0	2.17679E-7	1.43668E-5
